H1.1,H1.2,H2.1,H4.1,H6.1
SMIM41,0,0,0,0,0
OR7E47P,0,0,0,0,0
KRT80,0,1,1,0,0
C12orf80,0,0,0,0,0
LINC00592,0,0,0,0,0
KRT7,2,0,2,0,11
KRT7-AS,0,0,0,0,0
KRT87P,0,0,0,0,0
KRT86,0,0,0,0,0
KRT81,0,0,0,0,2
KRT83,0,0,0,0,0
KRT85,0,0,0,0,0
KRT84,0,0,0,0,0
KRT82,0,0,0,0,0
KRT75,0,0,0,0,0
KRT6B,0,0,0,0,0
KRT6C,0,0,0,0,0
KRT6A,0,0,0,0,0
KRT5,0,0,0,0,0
KRT71,0,0,0,0,0
KRT74,0,0,0,0,0
KRT72,0,0,0,0,0
KRT73,0,0,0,0,0
KRT73-AS1,0,0,0,0,0
KRT2,0,0,0,0,0
KRT1,0,0,0,0,0
KRT77,0,0,0,0,0
KRT76,0,0,0,0,0
KRT3,0,0,0,0,0
KRT4,0,0,0,0,0
KRT79,0,0,0,0,0
KRT78,0,0,0,0,0
KRT8,193,20,1136,240,3530
MIR9898,0,0,0,0,0
KRT18,428,46,2168,342,6391
EIF4B,70,23,818,106,373
LOC283335,1,0,5,1,8
TNS2,0,0,1,1,17
MIR6757,0,0,0,0,0
SPRYD3,0,0,18,2,6
IGFBP6,1,1,0,6,176
SOAT2,0,0,0,0,1
CSAD,5,0,60,7,15
ZNF740,3,1,29,2,13
ITGB7,0,0,0,0,0
RARG,2,1,16,2,19
MFSD5,7,0,56,8,23
ESPL1,3,0,33,7,14
PFDN5,247,75,3017,503,1325
C12orf10,29,4,478,82,169
AAAS,7,3,238,17,71
SP7,0,0,0,0,0
SP1,7,1,75,7,46
AMHR2,1,0,0,0,22
PRR13,38,6,434,70,366
PCBP2,85,32,1550,193,830
PCBP2-OT1,0,0,0,0,0
MAP3K12,2,0,51,6,4
TARBP2,11,2,146,42,90
ATF7-NPFF,0,0,0,0,0
NPFF,0,0,0,0,0
ATF7,7,0,123,18,55
LOC100652999,0,0,1,0,0
ATP5MC2,236,74,5081,480,948
CALCOCO1,0,0,30,1,13
CISTR,0,0,0,0,0
HOXC13-AS,0,0,0,0,0
HOXC13,0,0,0,0,0
HOXC12,0,0,0,0,0
HOTAIR,0,0,0,0,0
HOXC11,0,0,0,0,0
HOXC-AS3,0,0,0,0,0
HOXC10,0,0,0,0,0
MIR196A2,0,0,0,0,0
HOXC-AS2,0,0,0,0,0
HOXC-AS1,0,0,0,0,0
HOXC9,0,0,0,0,0
HOXC8,0,0,0,0,1
HOXC4,0,0,1,0,0
HOXC5,0,0,0,0,0
HOXC6,0,0,0,0,0
MIR615,0,0,0,0,0
FLJ12825,0,0,0,0,0
LOC100240735,0,0,0,0,0
LOC100240734,0,0,0,0,0
LINC02381,0,0,122,6,1
SMUG1,7,2,112,10,41
CBX5,81,18,1259,188,196
MIR3198-2,0,0,0,0,0
SCAT2,0,0,1,0,0
HNRNPA1,430,130,9007,965,2231
NFE2,0,0,0,0,4
COPZ1,58,8,987,120,289
MIR148B,0,0,0,0,0
LOC102724050,0,0,0,1,2
GPR84,0,0,0,0,0
ZNF385A,3,1,152,6,21
ITGA5,10,3,92,22,156
GTSF1,0,0,0,0,0
NCKAP1L,0,0,0,0,0
PDE1B,0,0,7,0,0
PPP1R1A,6,2,604,36,18
GLYCAM1,0,0,0,0,0
LACRT,0,0,0,0,0
DCD,0,0,1,0,0
MUCL1,0,0,0,0,1
TESPA1,1,0,0,0,0
NEUROD4,0,0,6,0,0
OR9K2,0,0,0,0,0
OR10A7,0,0,0,0,0
OR6C74,0,0,0,0,0
OR6C6,0,0,0,0,0
OR6C1,0,0,0,0,0
OR6C3,0,0,0,0,0
OR6C75,0,0,0,0,0
OR6C65,0,0,0,0,0
OR6C76,0,0,0,0,0
OR6C2,0,0,0,0,0
OR6C70,0,0,0,0,0
OR6C68,0,0,0,0,0
OR6C4,0,0,0,0,0
OR2AP1,0,0,0,0,0
OR10P1,0,0,0,0,0
METTL7B,0,0,1,1,0
ITGA7,5,2,21,12,10
BLOC1S1,22,7,482,62,251
BLOC1S1-RDH5,0,0,0,0,0
RDH5,0,0,1,0,0
CD63,363,87,3647,1053,2128
GDF11,11,1,240,21,46
SARNP,75,24,1291,140,424
ORMDL2,29,4,288,50,157
DNAJC14,5,1,54,7,10
TMEM198B,1,2,37,9,7
MMP19,0,0,1,0,2
PYM1,27,3,394,40,230
DGKA,1,0,20,4,7
PMEL,45,20,507,35,7
CDK2,6,1,154,10,17
RAB5B,8,0,89,14,35
SUOX,0,1,16,3,18
IKZF4,7,0,64,4,7
LOC105369781,0,0,0,0,0
RPS26,420,85,5434,963,2766
ERBB3,1,3,16,6,13
PA2G4,129,29,1895,314,648
RPL41,1523,495,16477,3263,9072
ZC3H10,1,0,36,5,9
ESYT1,14,2,99,18,50
MYL6B,84,29,1556,175,379
MYL6,908,109,11384,2030,5348
SMARCC2,19,7,258,21,29
RNF41,18,0,142,37,41
NABP2,21,4,419,33,54
SLC39A5,0,0,0,0,0
ANKRD52,5,0,26,2,13
COQ10A,5,2,101,8,30
CS,9,4,124,15,75
CNPY2,109,18,1653,273,612
PAN2,1,0,18,3,6
IL23A,0,0,2,2,31
STAT2,3,1,36,6,17
APOF,0,0,0,0,0
TIMELESS,18,9,277,23,33
MIP,2,0,0,0,0
SPRYD4,7,1,155,12,52
GLS2,0,0,0,0,3
SNORA105C,0,0,0,1,0
RBMS2,4,0,52,15,22
BAZ2A,27,3,154,29,97
ATP5F1B,166,28,2664,351,999
SNORD59B,0,0,0,0,0
SNORD59A,0,0,0,0,0
PTGES3,221,63,3767,578,1637
NACA,956,225,13416,2052,4838
PRIM1,13,4,170,16,47
HSD17B6,1,0,12,1,5
SDR9C7,0,0,0,0,0
RDH16,0,0,0,1,0
GPR182,0,0,0,0,0
ZBTB39,3,0,54,5,9
TAC3,5,1,12,1,1
MYO1A,0,0,0,0,0
NEMP1,2,1,55,8,13
NAB2,3,4,67,10,4
STAT6,0,1,9,3,17
LRP1,19,5,150,30,32
LRP1-AS,0,0,0,0,0
MIR1228,0,0,0,0,0
NXPH4,0,0,18,1,2
SHMT2,25,0,726,157,230
NDUFA4L2,0,0,1,0,0
STAC3,0,1,2,2,1
R3HDM2,4,2,105,6,32
INHBC,0,0,0,0,0
INHBE,1,0,16,7,1
GLI1,0,0,2,1,6
ARHGAP9,1,0,7,5,4
MARS1,9,2,214,58,86
MIR6758,0,0,0,0,0
DDIT3,3,1,126,80,38
MIR616,0,0,0,0,0
MBD6,1,0,45,7,16
DCTN2,59,7,910,138,271
KIF5A,1,0,12,7,3
PIP4K2C,0,0,28,6,15
DTX3,7,1,79,14,6
ARHGEF25,1,1,36,6,1
LOC101927583,0,0,0,0,0
SLC26A10,0,0,3,1,0
B4GALNT1,1,0,22,0,0
OS9,15,4,322,33,100
AGAP2,0,0,4,0,0
AGAP2-AS1,0,0,0,0,1
TSPAN31,6,0,151,11,21
CDK4,118,21,2234,229,385
MIR6759,0,0,0,0,0
MARCHF9,1,1,27,3,6
CYP27B1,1,0,0,0,1
METTL1,11,4,129,14,55
EEF1AKMT3,1,0,10,3,1
TSFM,18,4,418,58,149
AVIL,0,0,4,0,2
CTDSP2,5,4,128,15,52
MIR26A2,0,0,0,0,0
LOC283387,0,0,0,0,0
GIHCG,8,3,273,38,13
ATP23,2,2,29,4,17
LINC02403,0,0,0,0,0
LINC02388,0,0,1,0,0
LOC100506869,0,0,0,0,0
LRIG3,0,2,66,21,68
SLC16A7,0,0,6,2,4
TAFA2,0,0,3,0,1
USP15,10,0,111,17,30
MIR6125,0,0,0,0,0
MON2,2,0,44,3,19
LINC01465,0,0,10,1,4
MIRLET7I,0,0,0,0,0
PPM1H,2,0,13,1,24
AVPR1A,0,0,0,0,0
DPY19L2,0,0,7,5,0
RXYLT1,8,3,162,23,35
RXYLT1-AS1,0,0,0,0,0
MIR10527,0,0,0,0,0
SRGAP1,4,0,216,44,19
C12orf66,1,0,13,1,5
C12orf56,0,0,5,0,8
XPOT,12,2,164,34,79
TBK1,7,0,55,6,35
RASSF3,1,1,19,4,37
MIR548C,0,0,0,0,0
MIR548Z,0,0,0,0,0
GNS,5,0,55,6,20
TBC1D30,0,0,0,0,0
LINC02389,0,0,0,0,0
LINC02231,0,0,0,0,0
WIF1,0,0,2,0,0
LEMD3,1,3,54,3,31
MSRB3,6,1,164,19,5
LOC100507065,0,0,0,0,0
LOC105369187,0,0,0,0,0
LINC02454,0,0,0,0,0
RPSAP52,0,0,0,2,0
HMGA2,20,12,362,68,108
HMGA2-AS1,0,0,2,0,1
MIR6074,0,0,0,0,0
LINC02425,0,0,0,0,0
LLPH,28,4,300,58,194
LLPH-DT,0,0,1,0,0
TMBIM4,36,11,663,101,165
IRAK3,1,0,1,0,2
MIR6502,0,0,0,0,0
HELB,0,0,21,2,2
GRIP1,3,1,33,5,6
LOC102724421,0,0,0,0,0
CAND1,21,7,274,37,96
LINC02420,0,0,0,0,0
LINC02408,0,0,0,0,0
DYRK2,12,1,156,32,45
LINC02421,0,0,0,0,0
LINC01479,0,0,0,0,0
IFNG-AS1,0,0,0,0,0
IFNG,0,0,0,0,0
IL26,0,0,0,0,1
IL22,0,0,0,0,0
MDM1,0,3,66,16,6
LINC02384,0,0,0,0,0
RAP1B,67,12,902,213,369
SNORA70G,0,0,0,0,0
LOC100507250,0,1,5,0,4
NUP107,16,1,151,26,60
SLC35E3,10,2,157,28,39
LOC100130075,0,0,0,0,0
MDM2,13,4,218,31,49
CPM,1,0,0,4,0
CPSF6,41,11,632,83,199
MIR1279,0,0,0,0,0
LYZ,0,0,0,0,1
YEATS4,23,8,510,42,88
FRS2,3,1,63,10,24
SNORA113,0,0,0,0,0
MIR3913-1,0,0,0,0,0
MIR3913-2,0,0,0,0,0
CCT2,215,36,3391,581,804
LRRC10,0,0,0,0,0
BEST3,0,0,2,0,0
LOC101928002,0,0,0,0,1
RAB3IP,14,2,72,17,38
MYRFL,0,0,0,0,11
CNOT2-DT,6,1,125,15,51
CNOT2,21,4,472,40,121
KCNMB4,6,3,66,21,139
PTPRB,0,0,0,0,0
PTPRR,0,0,6,0,0
TSPAN8,0,0,0,1,0
LGR5,1,0,0,1,86
ZFC3H1,11,2,95,17,38
THAP2,3,2,44,8,7
TMEM19,2,1,54,4,22
RAB21,13,1,176,31,59
TBC1D15,7,1,102,21,27
MRS2P2,0,0,0,0,0
TPH2,0,0,0,0,0
TRHDE-AS1,0,0,6,0,1
TRHDE,0,0,1,1,1
LINC02444,0,0,0,0,0
LOC100507377,0,0,0,0,0
ATXN7L3B,20,3,481,57,78
KCNC2,0,0,0,0,0
LOC100130268,0,0,0,0,0
CAPS2,0,0,4,1,1
GLIPR1L1,0,0,1,1,1
GLIPR1L2,0,0,1,0,0
GLIPR1,3,0,65,99,21
KRR1,21,5,324,81,136
PHLDA1,11,2,122,46,402
NAP1L1,226,48,3098,408,1048
LNCOG,0,0,0,0,0
BBS10,0,0,17,6,6
OSBPL8,30,5,516,63,94
ZDHHC17,7,2,71,26,24
CSRP2,223,41,6130,903,332
E2F7,5,2,61,31,7
NAV3,1,0,8,5,0
LINC02424,0,0,0,0,0
SYT1,20,8,183,80,72
MIR1252,0,0,0,0,0
PAWR,52,11,534,302,144
PPP1R12A,31,10,439,119,142
PPP1R12A-AS1,0,0,6,0,2
OTOGL,0,0,0,3,0
PTPRQ,0,0,0,0,0
MYF6,0,0,0,0,1
MYF5,0,0,0,0,0
LINC01490,0,0,0,0,0
LIN7A,2,2,23,3,29
MIR617,0,0,0,0,0
MIR618,0,0,0,0,0
ACSS3,2,0,27,3,86
MIR4699,0,0,0,0,0
PPFIA2,0,0,4,2,0
PPFIA2-AS1,0,0,0,0,0
LINC02426,0,0,0,0,0
CCDC59,25,4,313,114,136
METTL25,2,1,39,3,25
TMTC2,0,0,18,0,7
SLC6A15,4,1,14,7,2
TSPAN19,0,0,1,1,0
LRRIQ1,2,2,57,6,6
ALX1,0,0,9,0,21
RASSF9,0,0,3,2,2
NTS,0,1,47,20,15154
MGAT4C,2,0,4,0,1
MIR3059,0,0,0,0,0
LOC105369879,0,0,0,0,0
LINC02258,0,0,0,0,0
MKRN9P,0,0,0,0,0
C12orf50,0,0,0,0,0
C12orf29,5,2,124,28,50
CEP290,12,4,234,30,13
TMTC3,2,0,91,13,44
KITLG,0,0,60,7,23
LINC02458,0,0,0,0,1
DUSP6,57,21,1137,122,117
POC1B,1,0,64,10,12
POC1B-GALNT4,0,0,0,0,0
GALNT4,0,0,0,0,0
POC1B-AS1,0,0,2,0,1
ATP2B1,44,13,879,88,264
ATP2B1-AS1,1,0,20,1,5
LINC02399,0,0,0,0,0
LINC02392,0,0,0,0,0
LINC00615,0,0,0,0,0
CCER1,0,0,0,0,0
EPYC,0,0,0,0,0
KERA,0,0,0,0,0
LUM,0,0,44,0,26
DCN,0,0,3,1,0
LINC01619,0,0,1,1,0
BTG1,35,5,645,148,74
LOC101928617,0,0,4,0,0
CLLU1OS,0,0,0,0,0
CLLU1,0,0,0,0,0
LINC02397,0,0,2,0,0
C12orf74,0,0,0,0,0
PLEKHG7,0,0,0,0,0
EEA1,14,1,174,35,57
LOC643339,0,0,0,0,0
LINC02412,0,0,0,0,0
NUDT4,2,0,44,9,57
UBE2N,72,20,1559,235,770
MRPL42,47,11,678,114,344
SOCS2-AS1,0,0,3,0,1
SOCS2,13,1,135,27,132
CRADD,2,1,31,4,12
LOC101928731,0,0,0,0,0
LOC105369911,0,0,0,0,0
PLXNC1,0,0,22,0,0
CEP83,9,2,122,12,8
CEP83-DT,0,0,6,1,1
MIR5700,0,0,0,0,0
TMCC3,0,0,3,1,1
MIR7844,0,0,0,0,0
MIR492,0,0,0,0,0
KRT19P2,0,0,0,0,0
NDUFA12,126,22,1558,279,408
NR2C1,7,0,210,22,33
FGD6,2,0,75,5,47
VEZT,6,2,214,28,72
MIR331,0,0,0,0,0
MIR3685,0,0,0,0,0
METAP2,44,16,401,83,301
USP44,25,9,312,16,18
PGAM1P5,0,1,0,0,0
NTN4,0,0,12,0,17
LOC105369921,0,0,0,0,0
LINC02410,0,0,0,0,0
SNRPF,189,54,2061,405,664
CCDC38,0,0,0,0,0
AMDHD1,0,0,0,0,1
HAL,0,0,1,0,2
LTA4H,24,5,310,34,80
ELK3,6,3,43,30,50
CDK17,2,0,69,12,18
CFAP54,0,0,6,0,0
NEDD1,3,1,186,20,38
RMST,9,2,193,12,3
MIR1251,0,0,0,0,0
MIR135A2,0,0,0,0,0
LOC643711,0,0,1,0,0
MIR4495,0,0,0,0,0
MIR4303,0,0,0,0,0
SLC9A7P1,0,0,1,0,1
LINC02453,0,0,1,0,1
TMPO-AS1,3,5,110,7,9
TMPO,57,6,1073,139,231
SLC25A3,367,91,7387,932,2074
SNORA53,0,0,0,0,0
IKBIP,21,10,354,79,94
APAF1,2,0,72,7,12
ANKS1B,1,0,10,2,18
LOC101928937,0,0,0,0,0
FAM71C,0,0,0,0,0
UHRF1BP1L,1,0,58,6,20
GOLGA2P5,1,0,5,1,4
MIR1827,0,0,0,0,0
ACTR6,12,2,222,43,99
DEPDC4,0,2,22,1,7
SCYL2,4,0,138,15,42
SLC17A8,0,0,0,0,0
NR1H4,0,0,0,0,0
GAS2L3,5,0,44,2,5
ANO4,0,0,13,0,4
MIR548AQ,0,0,0,0,0
SLC5A8,0,0,0,0,0
UTP20,12,2,98,16,54
ARL1,42,4,552,73,209
SPIC,0,0,0,0,0
MYBPC1,0,0,0,0,0
CHPT1,12,1,145,13,63
SYCP3,0,0,0,0,0
GNPTAB,5,0,17,8,14
DRAM1,3,0,18,4,15
WASHC3,3,2,176,19,55
NUP37,17,5,355,53,165
PARPBP,20,5,266,19,73
PMCH,0,0,0,0,0
IGF1,0,0,1,0,2
LINC00485,0,0,0,0,0
PAH,0,0,0,0,0
ASCL1,0,0,115,0,0
LOC101929058,0,0,0,0,0
C12orf42,0,0,1,0,0
LOC105369945,0,0,0,0,0
LINC02401,0,0,0,0,0
STAB2,0,0,0,0,0
NT5DC3,2,0,26,4,7
TTC41P,0,0,3,1,0
HSP90B1,203,35,4038,306,1531
MIR3652,0,0,0,0,0
C12orf73,7,2,180,43,30
TDG,20,4,329,51,118
GLT8D2,0,1,5,1,2
HCFC2,0,0,11,1,1
NFYB,24,7,472,51,133
TXNRD1,30,3,517,88,106
EID3,0,1,14,2,4
CHST11,2,0,67,20,54
MIR3922,0,0,0,0,0
SLC41A2,0,0,3,1,1
C12orf45,27,4,376,94,157
ALDH1L2,2,0,24,3,4
LOC414300,0,0,2,0,0
WASHC4,6,2,61,12,51
APPL2,5,1,71,11,19
KCCAT198,0,0,0,0,0
C12orf75,33,5,534,133,278
CASC18,0,0,0,0,1
NUAK1,5,1,122,33,50
CKAP4,33,7,547,110,138
TCP11L2,0,0,1,0,0
POLR3B,1,1,32,2,12
LOC100287944,0,0,0,0,0
RFX4,0,1,187,13,0
LOC100505978,0,0,2,0,1
RIC8B,2,1,49,15,5
TMEM263,5,0,101,19,34
MTERF2,2,0,67,6,20
CRY1,4,0,91,18,19
BTBD11,1,0,7,1,0
PWP1,20,3,425,97,157
PRDM4,7,0,66,12,18
LOC101929162,0,0,1,0,0
ASCL4,0,0,0,0,0
LOC728739,0,0,0,0,0
WSCD2,0,0,4,0,4
CMKLR1,0,0,1,0,4
LINC01498,0,0,0,0,0
FICD,0,1,36,6,16
SART3,17,3,176,27,72
ISCU,40,10,883,106,254
TMEM119,0,0,5,0,0
SELPLG,0,0,2,0,0
MIR4496,0,0,0,0,0
CORO1C,3,2,251,32,83
SSH1,2,0,47,10,20
MIR619,0,0,0,0,0
DAO,0,0,1,0,0
SVOP,0,0,0,0,0
USP30,1,0,11,2,7
USP30-AS1,0,0,0,0,0
ALKBH2,7,2,200,28,23
UNG,17,7,339,22,76
ACACB,0,0,2,0,1
FOXN4,1,0,0,0,1
LINC01486,0,0,0,0,0
MYO1H,0,0,0,0,0
KCTD10,6,0,103,10,34
UBE3B,3,1,87,17,20
MMAB,29,6,631,36,137
MVK,1,1,249,9,61
FAM222A,2,0,17,2,28
FAM222A-AS1,0,0,0,0,0
TRPV4,0,0,0,0,9
MIR4497,0,0,0,0,0
GLTP,13,7,170,32,58
TCHP,3,0,135,16,32
GIT2,4,0,33,12,21
ANKRD13A,1,0,51,11,26
C12orf76,3,2,101,15,12
IFT81,16,3,386,27,25
ATP2A2,24,5,190,53,113
ANAPC7,18,3,242,33,55
ARPC3,136,35,2805,409,1201
GPN3,23,7,499,68,137
FAM216A,15,1,174,43,21
VPS29,46,14,1108,139,359
RAD9B,0,0,2,0,0
PPTC7,2,0,29,4,10
TCTN1,2,4,144,23,13
HVCN1,0,0,22,2,31
PPP1CC,82,17,1197,170,377
CCDC63,0,1,1,1,2
MYL2,0,0,0,2,0
LINC01405,0,1,2,0,69
LOC105369980,0,0,0,0,0
CUX2,1,0,4,3,3
MIR6760,0,0,0,0,0
PHETA1,1,0,61,5,15
SH2B3,0,1,13,6,18
ATXN2,10,1,233,26,38
ATXN2-AS,0,0,0,0,0
BRAP,2,2,80,10,27
ACAD10,2,0,12,1,6
ALDH2,24,5,582,76,316
MIR6761,0,0,0,0,0
MAPKAPK5-AS1,20,4,180,36,63
MAPKAPK5,11,2,204,26,63
TMEM116,1,2,53,8,16
ERP29,159,26,2120,329,932
NAA25,17,1,126,22,28
MIR3657,0,0,0,0,0
TRAFD1,1,0,53,4,13
HECTD4,0,1,57,8,9
MIR6861,0,0,0,0,0
RPL6,914,250,15172,1922,5167
PTPN11,15,1,347,46,86
RPH3A,0,0,0,0,0
MIR1302-1,0,0,0,0,0
OAS1,0,0,0,0,33
OAS3,0,0,0,0,0
OAS2,0,0,0,0,0
DTX1,1,0,12,2,0
RASAL1,1,0,0,0,1
CFAP73,0,0,2,0,0
DDX54,15,5,291,28,103
MIR7106,0,0,0,0,0
RITA1,13,0,180,23,71
IQCD,2,0,14,3,2
TPCN1,0,0,16,1,9
MIR6762,0,0,0,0,0
SLC8B1,1,1,8,1,3
PLBD2,1,0,25,4,15
SDS,0,0,0,0,0
SDSL,2,1,114,9,0
LHX5,12,0,28,4,0
LHX5-AS1,11,6,23,4,0
LINC01234,1,0,12,0,1
RBM19,5,0,86,17,24
LINC02459,0,0,0,0,0
TBX5,0,0,0,0,0
TBX5-AS1,0,0,0,0,0
TBX3,0,0,0,1,99
MED13L,5,1,141,31,57
MIR620,0,0,0,0,0
MIR4472-2,0,0,0,0,0
LINC00173,0,1,5,0,2
MAP1LC3B2,1,0,3,3,1
C12orf49,10,2,152,43,91
RNFT2,1,0,41,3,4
HRK,0,0,13,4,2
FBXW8,5,2,63,9,8
LOC100506551,0,0,0,0,0
TESC,1,0,18,4,8
TESC-AS1,0,0,0,0,0
FBXO21,10,4,184,35,52
NOS1,0,0,0,0,0
KSR2,1,1,4,0,4
RFC5,11,2,306,22,56
WSB2,7,5,196,15,76
VSIG10,1,0,30,3,40
PEBP1,323,63,6064,699,1156
TAOK3,0,0,65,8,17
SUDS3,7,4,226,31,94
LINC02423,0,0,0,0,0
LINC02439,0,0,0,0,0
SRRM4,0,0,27,5,5
LOC105370024,0,0,0,0,0
HSPB8,0,0,8,1,21
LINC00934,0,0,0,0,0
CCDC60,0,1,2,0,0
TMEM233,0,0,0,1,0
PRKAB1,4,0,98,18,18
CIT,5,0,59,10,21
MIR1178,0,0,0,0,0
BICDL1,1,0,16,0,3
RAB35,5,0,74,15,39
GCN1,7,3,114,11,49
MIR4498,0,0,0,0,0
RPLP0,739,170,7101,1437,4196
PXN-AS1,4,2,104,6,36
PXN,5,1,50,11,86
RNU4-2,0,0,0,0,0
RNU4-1,0,0,0,0,0
SIRT4,1,0,14,1,6
PLA2G1B,0,0,1,0,0
MSI1,4,1,292,25,29
COX6A1,188,50,2306,410,1409
TRIAP1,61,14,650,121,357
GATC,7,0,75,13,29
SRSF9,175,57,4238,401,1438
DYNLL1,520,92,6667,1110,3083
NRAV,2,0,35,4,7
COQ5,15,1,245,33,67
RNF10,11,3,355,35,113
POP5,35,10,558,46,180
CABP1,0,0,1,0,0
MLEC,68,15,1381,140,374
UNC119B,1,0,78,15,10
MIR4700,0,0,0,0,0
ACADS,2,1,11,1,10
SPPL3,5,2,173,21,69
XLOC-009911,0,0,0,0,0
HNF1A-AS1,0,0,0,0,0
HNF1A,0,0,0,0,0
C12orf43,9,0,198,26,56
OASL,0,0,0,0,0
P2RX7,0,0,0,0,0
P2RX4,3,0,53,8,28
CAMKK2,10,1,109,8,38
ANAPC5,36,0,534,58,115
RNF34,13,4,257,34,77
KDM2B,4,1,117,16,38
MIR7107,0,0,0,0,0
ORAI1,11,3,156,23,112
MORN3,0,1,7,1,0
TMEM120B,9,1,44,3,22
RHOF,0,0,11,1,54
LINC01089,3,0,78,13,21
SETD1B,2,0,29,5,13
HPD,0,0,4,0,1
PSMD9,57,9,888,163,438
WDR66,0,0,1,0,2
BCL7A,11,2,225,26,14
LOC100506691,0,0,20,0,2
MLXIP,4,2,84,10,28
LRRC43,0,0,0,0,2
IL31,0,0,0,0,0
B3GNT4,0,0,2,1,13
DIABLO,56,8,1038,121,307
LOC101593348,0,0,0,1,0
VPS33A,9,2,126,22,51
CLIP1,7,0,208,28,36
CLIP1-AS1,0,0,0,0,0
ZCCHC8,4,0,84,13,18
RSRC2,29,8,512,158,153
KNTC1,2,1,63,10,14
MIR9902-1,0,0,0,0,0
MIR9902-2,0,0,0,0,0
HCAR2,0,0,0,0,0
HCAR3,0,0,0,0,0
HCAR1,0,0,0,0,0
DENR,38,3,500,128,302
CCDC62,0,0,1,0,0
HIP1R,1,0,13,2,3
VPS37B,3,0,38,11,4
ABCB9,0,0,2,0,2
OGFOD2,1,1,31,5,16
ARL6IP4,80,22,1529,215,499
PITPNM2,0,0,4,5,3
MIR4304,0,0,0,0,0
PITPNM2-AS1,0,0,0,0,0
MPHOSPH9,15,3,114,9,24
C12orf65,10,0,175,25,47
CDK2AP1,166,44,2875,370,611
SBNO1,19,10,280,50,120
MIR8072,0,0,0,0,0
SBNO1-AS1,1,3,34,10,23
KMT5A,9,3,195,40,86
RILPL2,5,1,63,8,35
SNRNP35,17,3,234,27,77
RILPL1,7,0,139,17,28
MIR3908,0,0,0,0,0
TMED2-DT,0,0,2,3,0
TMED2,28,9,729,122,450
DDX55,10,3,187,34,44
SNORA9B,0,0,0,0,0
EIF2B1,16,2,365,44,90
GTF2H3,11,2,210,29,87
TCTN2,1,0,11,1,2
ATP6V0A2,3,0,81,9,49
DNAH10,0,0,2,1,0
CCDC92,7,2,90,16,29
ZNF664,5,1,123,24,35
ZNF664-RFLNA,0,0,0,0,0
RFLNA,0,0,0,0,0
NCOR2,15,4,171,23,80
MIR6880,0,0,0,0,0
SCARB1,2,0,35,5,24
UBC,226,39,3783,1038,1316
MIR5188,0,0,0,0,0
DHX37,4,0,37,14,17
BRI3BP,7,0,100,10,37
THRIL,0,0,1,0,0
AACS,4,0,61,8,40
TMEM132B,1,0,65,2,4
LINC00939,1,0,0,0,0
LINC02359,0,0,0,0,0
LINC02825,0,0,0,0,0
LINC02350,0,0,0,0,0
LINC02347,0,0,0,0,0
LOC100996671,0,0,0,0,0
LINC00944,0,0,0,0,0
LINC00943,0,0,0,0,0
LINC02372,0,0,0,0,0
LINC02405,0,0,0,0,0
LINC02376,0,0,0,0,0
LINC02375,0,0,0,0,0
LINC02411,0,0,0,0,0
LOC105370068,0,0,0,0,0
LINC02393,0,0,0,0,0
LINC00508,0,0,0,0,0
LINC00507,0,0,0,0,0
LINC02441,0,0,0,0,0
LINC02369,0,0,0,0,0
LINC02368,0,0,0,0,0
TMEM132C,1,1,39,0,0
MIR3612,0,0,0,0,0
SLC15A4,3,1,68,7,36
LOC100128276,0,0,0,0,2
GLT1D1,4,0,29,1,9
TMEM132D,0,0,20,0,2
TMEM132D-AS1,0,0,0,0,0
TMEM132D-AS2,0,0,0,0,0
LINC02418,0,0,0,0,1
LINC02419,0,0,0,0,0
FZD10-AS1,1,0,102,0,4
FZD10,0,0,83,0,5
PIWIL1,0,0,0,0,0
RIMBP2,0,0,2,0,3
STX2,6,2,168,34,35
RAN,677,145,12134,1730,3433
ADGRD1,0,0,0,0,1
ADGRD1-AS1,0,0,0,0,0
LINC01257,0,0,0,0,0
LINC02415,0,0,0,0,0
LINC02370,0,0,0,0,0
LINC02414,0,0,1,0,0
SFSWAP,14,3,223,38,47
MMP17,4,4,22,4,8
ULK1,1,1,45,5,31
PUS1,12,3,137,25,34
EP400,10,2,180,24,52
SNORA49,0,0,0,0,0
EP400P1,1,0,5,2,1
DDX51,5,1,94,14,37
NOC4L,14,2,187,32,59
LINC02361,0,0,1,0,4
GALNT9,0,0,1,1,0
LOC100130238,0,0,1,0,1
LOC101928416,0,0,0,0,0
FBRSL1,6,0,128,19,30
MIR6763,0,0,0,0,0
LRCOL1,0,0,0,0,0
P2RX2,0,0,0,0,0
POLE,7,0,89,14,26
PXMP2,17,7,442,58,75
PGAM5,7,0,109,17,50
ANKLE2,14,2,242,42,47
GOLGA3,4,0,104,15,32
CHFR,1,0,70,9,54
LOC101928530,0,0,2,2,2
ZNF605,4,2,54,4,12
ZNF26,2,0,41,14,13
ZNF84-DT,0,0,2,0,0
ZNF84,6,2,118,25,28
ZNF140,5,1,57,9,22
ZNF891,2,1,21,2,6
ZNF10,2,1,19,4,6
ZNF268,7,2,70,24,30
ANHX,0,0,0,0,0
TAS2R45,0,0,3,0,0
FAM230C,0,0,0,0,0
LINC00417,0,0,0,0,0
ANKRD20A9P,0,0,0,0,0
LINC00408,0,0,0,0,0
LINC00442,0,0,0,0,0
LOC107984132,0,0,0,0,0
TUBA3C,0,0,0,0,0
