H1.1,H6.1
KTN1-AS1,0,0
KTN1,2,14
RPL13AP3,0,0
LINC00520,0,0
PELI2,0,2
LOC101927690,0,0
TMEM260,0,3
OTX2,0,0
OTX2-AS1,0,0
EXOC5,0,7
AP5M1,1,2
NAA30,0,5
CCDC198,0,0
SLC35F4,0,0
ARMH4,0,0
ACTR10,0,21
PSMA3,1,32
PSMA3-AS1,0,5
LINC00216,0,0
ARID4A,0,1
TOMM20L,0,0
TIMM9,0,8
KIAA0586,0,4
DACT1,1,4
LINC01500,0,0
DAAM1,0,24
GPR135,0,0
L3HYPDH,0,7
JKAMP,1,25
CCDC175,0,0
RTN1,0,0
MIR5586,0,0
LRRC9,0,0
PCNX4,0,6
DHRS7,0,9
PPM1A,0,5
LINC02322,0,0
C14orf39,0,1
SIX6,0,0
SALRNA1,0,0
SIX1,1,1
MIR9718,0,0
SIX4,0,0
MNAT1,1,6
TRMT5,0,2
SLC38A6,1,5
TMEM30B,0,0
PRKCH,0,0
LINC01303,0,0
FLJ22447,0,0
HIF1A-AS1,0,0
HIF1A,4,75
HIF1A-AS3,0,0
HIF1A-AS2,0,0
SNAPC1,1,2
SYT16,0,0
LINC00643,0,0
LINC00644,0,0
KCNH5,0,0
RHOJ,0,0
GPHB5,0,0
PPP2R5E,0,4
LOC112268140,0,0
WDR89,0,0
SGPP1,0,3
SYNE2,0,0
MIR548H1,0,0
ESR2,0,0
TEX21P,0,0
MTHFD1,1,4
ZBTB25,0,0
AKAP5,0,1
ZBTB1,0,9
LOC102723809,0,0
HSPA2,0,1
PPP1R36,0,0
PLEKHG3,0,0
SPTB,0,0
MIR7855,0,0
CHURC1,1,35
CHURC1-FNTB,0,0
GPX2,0,0
RAB15,0,1
FNTB,0,0
MAX,1,4
MIR4706,0,0
LOC100506321,0,0
LINC02324,0,0
MIR4708,0,0
FUT8,0,0
FUT8-AS1,0,0
MIR625,0,0
CCDC196,0,0
GPHN,0,0
FAM71D,0,0
MPP5,0,2
ATP6V1D,3,17
EIF2S1,0,6
PLEK2,0,1
MIR5694,0,0
TMEM229B,0,1
PLEKHH1,0,0
PIGH,0,2
ARG2,0,0
VTI1B,1,17
RDH11,0,8
RDH12,0,0
ZFYVE26,0,0
RAD51B,0,0
LOC100996664,0,0
ZFP36L1,0,46
ACTN1,5,97
ACTN1-AS1,0,0
DCAF5,0,3
EXD2,0,0
GALNT16,0,0
ERH,2,58
SLC39A9,0,3
PLEKHD1,0,0
CCDC177,0,0
SUSD6,0,2
LOC100289511,0,0
SRSF5,1,12
SLC10A1,0,0
LOC100506358,0,0
SMOC1,0,0
SNORD169,0,0
SLC8A3,0,0
LOC646548,0,0
ADAM21P1,0,0
COX16,0,9
SYNJ2BP-COX16,0,0
SYNJ2BP,0,2
ADAM21,0,0
ADAM20P1,0,0
ADAM20,0,0
MED6,0,8
LOC101928075,0,0
TTC9,0,0
LINC01269,0,0
MAP3K9,0,0
PCNX1,0,5
SIPA1L1,0,11
SNORD56B,0,0
LOC145474,0,0
RGS6,0,0
MIR7843,0,0
DPF3,0,0
DCAF4,0,0
ZFYVE1,0,3
RBM25,0,12
PSEN1,0,2
PAPLN,0,1
LOC101928123,0,0
NUMB,1,4
LOC101928143,0,0
HEATR4,0,0
RIOX1,0,0
ACOT1,0,0
ACOT2,0,1
ACOT4,0,2
ACOT6,0,0
DNAL1,0,0
PNMA1,0,1
ELMSAN1,0,3
MIR4505,0,0
LOC100506476,0,0
LINC02274,0,0
PTGR2,0,3
ZNF410,1,5
FAM161B,0,0
COQ6,0,1
ENTPD5,0,2
BBOF1,0,0
ALDH6A1,0,2
LIN52,0,0
VSX2,0,0
ABCD4,0,3
VRTN,0,0
SYNDIG1L,0,0
NPC2,5,57
MIR4709,0,0
ISCA2,0,9
LTBP2,0,30
AREL1,0,2
FCF1,0,3
YLPM1,0,0
PROX2,0,0
DLST,0,2
RPS6KL1,0,0
PGF,0,0
EIF2B2,0,7
MLH3,0,3
ACYP1,0,4
ZC2HC1C,0,1
NEK9,0,2
TMED10,4,60
FOS,0,1
LINC01220,0,0
JDP2,1,5
BATF,0,0
LOC102724153,0,0
FLVCR2,0,1
ERG28,2,10
TTLL5,0,0
TGFB3,0,0
IFT43,2,10
GPATCH2L,0,1
ESRRB,0,0
VASH1,0,0
VASH1-AS1,0,0
ANGEL1,0,0
LRRC74A,0,0
LINC01629,0,0
IRF2BPL,0,1
LINC02288,0,0
LINC02289,0,0
CIPC,0,0
ZDHHC22,0,0
TMEM63C,0,0
NGB,0,0
MIR1260A,0,0
POMT2,0,1
GSTZ1,0,5
TMED8,0,4
SAMD15,0,0
NOXRED1,0,0
VIPAS39,0,3
AHSA1,0,11
ISM2,0,0
SPTLC2,0,3
ALKBH1,0,2
SLIRP,2,23
SNW1,0,2
C14orf178,0,0
ADCK1,0,1
NRXN3,0,2
LOC105370586,0,0
DIO2,0,0
DIO2-AS1,0,0
CEP128,0,0
TSHR,0,0
GTF2A1,0,4
SNORA79,0,0
LOC101928504,0,0
STON2,0,0
LINC02308,0,0
SEL1L,1,15
LINC01467,0,0
LINC02311,0,0
LINC02301,0,0
SNORD3P3,0,0
LINC02329,0,0
LINC00911,0,0
FLRT2,0,1
LINC02328,0,0
LINC01148,0,0
LINC02330,0,0
GALC,0,0
GPR65,0,0
LINC01147,0,0
LINC01146,0,0
KCNK10,0,0
SPATA7,0,0
PTPN21,0,4
ZC3H14,0,3
EML5,0,0
TTC8,0,1
FOXN3,0,9
FOXN3-AS1,0,2
FOXN3-AS2,0,0
EFCAB11,0,0
TDP1,1,1
KCNK13,0,0
PSMC1,0,16
NRDE2,0,2
CALM1,7,47
LINC02317,0,0
LINC00642,0,0
LOC105370619,0,0
TTC7B,0,1
LOC101928909,0,0
LOC105370622,0,0
RPS6KA5,0,0
DGLUCY,0,0
SNORA11B,0,0
GPR68,0,0
CCDC88C,0,0
PPP4R3A,1,4
CATSPERB,0,0
TC2N,0,0
FBLN5,1,80
TRIP11,0,5
ATXN3,0,1
NDUFB1,3,27
CPSF2,0,9
SLC24A4,0,0
RIN3,0,0
LGMN,1,7
GOLGA5,0,4
LINC02287,0,0
CHGA,0,0
ITPK1,1,1
ITPK1-AS1,0,0
MOAP1,0,6
TMEM251,0,4
GON7,0,4
UBR7,0,3
BTBD7,0,3
UNC79,0,1
COX8C,0,0
PRIMA1,0,0
FAM181A-AS1,0,0
FAM181A,0,0
ASB2,0,0
MIR4506,0,0
CCDC197,0,0
OTUB2,0,0
DDX24,2,14
IFI27L1,1,12
IFI27,0,0
IFI27L2,4,31
PPP4R4,0,0
SERPINA10,0,0
SERPINA6,0,0
SERPINA2,0,0
SERPINA1,0,0
SERPINA11,0,0
SERPINA9,0,0
SERPINA12,0,0
SERPINA4,0,0
SERPINA5,0,0
SERPINA3,0,2
SERPINA13P,0,0
GSC,0,0
GSC-DT,0,0
DICER1,0,7
MIR3173,0,0
DICER1-AS1,0,0
CLMN,0,0
LINC02292,0,0
SYNE3,1,1
SNHG10,0,0
SCARNA13,0,0
GLRX5,0,19
LINC02318,0,0
TCL6,0,0
TCL1B,0,0
TCL1A,0,0
LOC107984703,0,0
TUNAR,0,0
C14orf132,0,1
BDKRB2,0,0
BDKRB1,0,0
ATG2B,0,1
GSKIP,0,5
AK7,0,0
LOC730202,0,0
PAPOLA,0,20
LINC02299,0,0
VRK1,0,3
LINC00618,0,0
LINC02304,0,0
LINC02325,0,0
LINC02291,0,0
LINC02312,0,0
LINC01550,0,0
C14orf177,0,0
BCL11B,0,0
SETD3,0,1
CCNK,0,1
CCDC85C,0,0
HHIPL1,0,0
CYP46A1,0,0
EML1,0,0
EVL,0,4
MIR151B,0,0
MIR342,0,0
DEGS2,0,0
YY1,1,19
MIR6764,0,0
SLC25A29,0,0
MIR345,0,0
SLC25A47,0,0
WARS1,1,4
WDR25,1,2
BEGAIN,0,0
LINC00523,0,0
DLK1,0,0
MIR2392,0,0
MEG3,0,1
MIR770,0,0
MIR493,0,0
MIR337,0,0
MIR665,0,0
RTL1,0,0
MIR431,0,0
MIR433,0,0
MIR127,0,0
MIR432,0,0
MIR136,0,0
MEG8,0,0
SNORD112,0,0
MIR370,0,0
SNORD113-1,0,0
SNORD113-2,0,0
SNORD113-3,0,0
SNORD113-4,0,0
SNORD113-5,0,0
SNORD113-6,0,0
SNORD113-7,0,0
SNORD113-8,0,0
SNORD113-9,0,0
SNORD114-1,0,0
SNORD114-2,0,0
SNORD114-3,0,0
SNORD114-4,0,0
SNORD114-5,0,0
SNORD114-6,0,0
SNORD114-7,0,0
SNORD114-8,0,0
SNORD114-9,0,0
SNORD114-10,0,0
SNORD114-11,0,0
SNORD114-12,0,0
SNORD114-13,0,0
SNORD114-14,0,0
SNORD114-15,0,0
SNORD114-16,0,0
SNORD114-17,0,0
SNORD114-18,0,0
SNORD114-19,0,0
SNORD114-20,0,0
SNORD114-21,0,0
SNORD114-22,0,0
SNORD114-23,0,0
SNORD114-24,0,0
SNORD114-25,0,0
SNORD114-26,0,0
SNORD114-27,0,0
SNORD114-28,0,0
SNORD114-29,0,0
SNORD114-30,0,0
SNORD114-31,0,0
MIR379,0,0
MIR411,0,0
MIR299,0,0
MIR380,0,0
MIR1197,0,0
MIR323A,0,0
MIR758,0,0
MIR329-1,0,0
MIR329-2,0,0
MIR494,0,0
MIR1193,0,0
MIR543,0,0
MIR495,0,0
MIR376C,0,0
MIR376A2,0,0
MIR654,0,0
MIR376B,0,0
MIR376A1,0,0
MIR300,0,0
MIR1185-1,0,0
MIR1185-2,0,0
MIR381HG,0,0
MIR381,0,0
MIR487B,0,0
MIR539,0,0
MIR889,0,0
MIR544A,0,0
MIR655,0,0
MIR487A,0,0
MIR382,0,0
MIR134,0,0
MIR668,0,0
MIR485,0,0
MIR323B,0,0
MIR154,0,0
MIR496,0,0
MIR377,0,0
MIR541,0,0
MIR409,0,0
MIR412,0,0
MIR369,0,0
MIR410,0,0
MIR656,0,0
MEG9,0,0
LINC02285,0,0
LINC00524,0,0
LINC02314,0,0
DIO3OS,0,0
MIR1247,0,0
DIO3,0,0
LINC00239,0,1
PPP2R5C,0,1
DYNC1H1,0,21
HSP90AA1,5,66
WDR20,0,1
MOK,0,3
ZNF839,0,1
CINP,0,1
TECPR2,0,2
ANKRD9,0,7
MIR4309,0,0
LINC02323,0,0
RCOR1,0,1
TRAF3,0,0
AMN,0,0
CDC42BPB,0,2
LBHD2,0,0
EXOC3L4,0,0
LINC00677,0,0
TNFAIP2,0,0
LINC00605,0,0
LOC105378183,0,0
LOC105370687,0,1
EIF5,1,25
SNORA28,0,0
MARK3,0,3
CKB,10,20
TRMT61A,0,2
BAG5,1,4
COA8,1,18
KLC1,1,6
XRCC3,0,0
ZFYVE21,2,6
PPP1R13B,0,0
LINC00637,0,0
ATP5MPL,3,63
TDRD9,0,0
RD3L,0,0
ASPG,0,0
MIR203A,0,0
MIR203B,0,0
LOC105370708,0,0
KIF26A,0,0
LINC02691,0,0
C14orf180,0,0
TMEM179,0,0
LINC02280,0,0
MIR4710,0,0
INF2,0,6
ADSS1,0,0
SIVA1,1,30
AKT1,1,8
ZBTB42,0,0
LINC00638,0,0
CEP170B,1,4
MIR12121,0,0
PLD4,0,0
AHNAK2,0,5
CLBA1,0,0
CDCA4,0,2
GPR132,0,0
LINC02298,0,1
JAG2,0,0
MIR6765,0,0
NUDT14,0,8
BRF1,0,2
BTBD6,1,7
PACS2,0,6
TEX22,0,1
LOC100507437,0,0
MTA1,0,6
CRIP2,1,0
CRIP1,1,0
TEDC1,0,0
TMEM121,0,1
LOC105370697,0,0
MIR8071-1,0,0
MIR8071-2,0,0
ELK2AP,0,0
MIR4539,0,0
MIR4507,0,0
MIR4538,0,0
MIR4537,0,0
FAM30A,0,0
ADAM6,0,0
LINC00226,0,0
LINC00221,0,0
MIR5195,0,0
MAFIP,0,1
CHEK2P2,0,0
HERC2P3,0,0
HERC2P9,0,0
GOLGA6L6,0,0
GOLGA8CP,0,0
NBEAP1,0,0
MIR3118-2,0,0
MIR3118-3,0,0
MIR3118-4,0,0
POTEB,0,0
POTEB2,0,0
NF1P2,0,0
MIR5701-1,0,0
MIR5701-2,0,0
MIR5701-3,0,0
LINC01193,0,0
FAM30C,0,0
LOC646214,0,0
CXADRP2,0,0
POTEB3,0,0
LINC02203,0,0
LOC105369274,0,0
IGHV1OR15-1,0,0
LOC102724760,0,0
IGHV1OR15-3,0,0
LOC642131,0,0
LOC101927079,0,0
OR4M2,0,0
OR4N4,0,0
OR4N3P,0,0
MIR1268A,0,0
REREP3,0,0
GOLGA8EP,0,0
HERC2P7,0,0
HERC2P2,0,2
HERC2,0,3
GOLGA8J,0,0
GOLGA8IP,0,0
WHAMMP3,0,0
LOC283683,0,0
GOLGA6L7,0,0
NIPA1,0,2
NIPA2,1,4
CYFIP1,1,4
TUBGCP5,0,2
GOLGA6L1,0,0
GOLGA6L22,0,0
GOLGA8DP,0,0
MIR4509-1,0,0
MIR4509-2,0,0
MIR4509-3,0,0
LOC102723534,0,0
HERC2P11,0,0
GOLGA8S,0,0
GOLGA8H,0,0
GOLGA6L2,0,0
MIR4508,0,0
MKRN3,0,0
MAGEL2,0,1
NDN,1,5
PWRN4,0,0
PWRN2,0,0
PWRN3,0,0
PWRN1,0,0
NPAP1,0,0
SNHG14,0,1
SNRPN,0,0
SNURF,0,0
SNORD107,0,0
PWARSN,0,0
PWAR5,0,0
SNORD64,0,0
SNORD108,0,0
PWAR6,0,2
SNORD109A,0,0
SNORD109B,0,0
SNORD116-1,0,0
SNORD116-2,0,0
SNORD116-3,0,0
SNORD116-9,0,0
SNORD116-4,0,0
SNORD116-5,0,0
SNORD116-7,0,0
SNORD116-6,0,0
SNORD116-8,0,0
SNORD116-10,0,0
SNORD116-11,0,0
SNORD116-12,0,0
SNORD116-13,0,0
SNORD116-14,0,0
SNORD116-15,0,0
SNORD116-16,0,0
SNORD116-17,0,0
SNORD116-19,0,0
SNORD116-18,0,0
SNORD116-20,0,0
SNORD116-21,0,0
SNORD116-22,0,0
SNORD116-23,0,0
SNORD116-24,0,0
SNORD116-25,0,0
SNORD116-26,0,0
SNORD116-27,0,0
SNORD116-28,0,0
SNORD116-29,0,0
SNORD116-30,0,0
IPW,0,4
PWAR1,0,0
SNORD115-1,0,0
SNORD115-2,0,0
SNORD115-3,0,0
SNORD115-4,0,0
SNORD115-5,0,0
SNORD115-10,0,0
SNORD115-12,0,0
SNORD115-9,0,0
SNORD115-6,0,0
SNORD115-7,0,0
SNORD115-8,0,0
SNORD115-11,0,0
SNORD115-29,0,0
SNORD115-36,0,0
SNORD115-43,0,0
SNORD115-13,0,0
SNORD115-14,0,0
SNORD115-15,0,0
SNORD115-16,0,0
SNORD115-17,0,0
SNORD115-18,0,0
SNORD115-19,0,0
SNORD115-21,0,0
SNORD115-20,0,0
SNORD115-22,0,0
PWAR4,0,0
SNORD115-23,0,0
SNORD115-24,0,0
SNORD115-25,0,0
SNORD115-26,0,0
SNORD115-27,0,0
SNORD115-28,0,0
SNORD115-30,0,0
SNORD115-31,0,0
SNORD115-32,0,0
SNORD115-33,0,0
SNORD115-34,0,0
SNORD115-35,0,0
SNORD115-37,0,0
SNORD115-38,0,0
SNORD115-39,0,0
SNORD115-40,0,0
SNORD115-41,0,0
SNORD115-42,0,0
SNORD115-44,0,0
SNORD115-45,0,0
SNORD115-46,0,0
SNORD115-47,0,0
SNORD115-48,0,0
UBE3A,0,10
ATP10A,0,1
MIR4715,0,0
LINC02346,0,0
LINC00929,0,0
GABRB3,0,0
GABRA5,0,3
GABRG3,0,0
GABRG3-AS1,0,0
OCA2,0,3
LOC645202,0,0
LOC100132202,0,0
GOLGA8F,0,0
GOLGA8G,0,0
GOLGA8M,0,0
LOC101928042,0,1
WHAMMP2,0,0
LOC100289656,0,0
PDCD6IPP2,0,0
APBA2,0,0
FAM189A1,0,0
NSMCE3,0,9
LOC100130111,0,1
TJP1,0,11
ULK4P1,0,0
ULK4P2,0,0
ULK4P3,0,0
LOC102725021,0,0
GOLGA8T,0,0
LINC02249,0,0
CHRNA7,0,0
CHRFAM7A,0,0
DNM1P50,0,0
GOLGA8R,0,0
LOC100288203,1,4
WHAMMP1,0,0
LOC100996413,0,0
LINC02256,0,1
GOLGA8Q,0,0
GOLGA8N,0,0
ARHGAP11B,0,0
LOC100288637,0,0
HERC2P10,0,0
FAN1,1,1
MTMR10,0,1
TRPM1,0,0
MIR211,0,0
LINC02352,0,0
LOC283710,0,0
KLF13,0,1
OTUD7A,0,0
GOLGA8K,0,0
GOLGA8O,0,0
ARHGAP11A,0,0
ARHGAP11A-SCG5,0,0
SCG5,0,0
LOC105370757,0,0
GREM1,0,44
LOC100131315,0,0
FMN1,0,0
TMCO5B,0,0
LOC101928134,0,0
RYR3,0,0
AVEN,3,3
CHRM5,0,0
EMC7,1,55
PGBD4,0,1
KATNBL1,0,4
EMC4,3,20
SLC12A6,0,0
NOP10,12,76
NUTM1,0,0
LPCAT4,0,1
GOLGA8A,0,0
MIR1233-1,0,0
MIR1233-2,0,0
GOLGA8B,0,6
LINC02252,0,0
GJD2,0,0
LOC101928174,0,0
ACTC1,0,0
AQR,0,2
ZNF770,0,2
NANOGP8,0,0
ANP32AP1,0,0
DPH6,0,2
MIR3942,0,0
DPH6-DT,0,0
MIR4510,0,0
C15orf41,0,1
CSNK1A1P1,0,0
LOC145845,0,0
MEIS2,0,4
MIR8063,0,0
TMCO5A,0,0
LINC02345,0,0
LINC01852,0,0
SPRED1,0,2
FAM98B,0,4
RASGRP1,0,0
LINC02694,0,0
C15orf54,0,0
THBS1,4,223
FSIP1,0,0
LOC105370941,0,0
GPR176,0,5
EIF2AK4,3,10
SRP14,16,229
SRP14-AS1,0,1
BMF,0,0
BUB1B,0,0
BUB1B-PAK6,0,0
PAK6,0,0
C15orf56,0,0
ANKRD63,0,0
PLCB2,0,0
INAFM2,0,0
CCDC9B,0,4
PHGR1,0,0
DISP2,0,0
KNSTRN,0,2
IVD,0,1
BAHD1,0,1
CHST14,0,2
CCDC32,1,4
MRPL42P5,0,0
RPUSD2,0,2
KNL1,0,0
RAD51-AS1,0,0
RAD51,0,0
RMDN3,0,3
GCHFR,0,10
DNAJC17,0,4
C15orf62,0,0
ZFYVE19,0,2
PPP1R14D,0,0
SPINT1-AS1,0,0
SPINT1,0,3
RHOV,0,0
VPS18,0,1
LOC105370943,0,0
DLL4,0,0
CHAC1,0,11
INO80,0,0
EXD1,0,0
CHP1,0,2
OIP5-AS1,1,7
OIP5,0,0
NUSAP1,0,0
NDUFAF1,1,4
RTF1,1,10
ITPKA,0,0
LTK,0,0
RPAP1,0,1
TYRO3,0,0
MGA,0,2
MIR626,0,0
MAPKBP1,0,2
JMJD7-PLA2G4B,0,0
JMJD7,0,0
PLA2G4B,0,0
SPTBN5,0,1
MIR4310,0,0
LOC105370792,0,0
EHD4,0,3
EHD4-AS1,0,0
PLA2G4E-AS1,0,0
PLA2G4E,0,0
PLA2G4D,0,0
PLA2G4F,0,0
VPS39,0,1
MIR627,0,0
TMEM87A,0,9
GANC,0,0
CAPN3,0,0
ZNF106,0,13
SNAP23,0,4
LRRC57,0,3
HAUS2,0,4
STARD9,0,1
CDAN1,0,1
TTBK2,0,1
UBR1,0,3
TMEM62,0,0
CCNDBP1,2,9
EPB42,0,0
TGM5,0,0
TGM7,0,0
LCMT2,0,0
ADAL,0,0
ZSCAN29,1,0
TUBGCP4,0,0
TP53BP1,0,6
MAP1A,0,7
PPIP5K1,0,0
CKMT1B,0,0
STRC,0,0
CATSPER2,0,0
PPIP5K1P1-CATSPER2,0,0
CKMT1A,0,0
STRCP1,0,0
CATSPER2P1,0,0
PDIA3,3,52
ELL3,0,0
SERF2,35,584
SERF2-C15ORF63,0,0
MIR1282,0,0
SERINC4,0,0
HYPK,0,1
MFAP1,0,7
WDR76,0,0
FRMD5,0,1
PIN4P1,0,0
CASC4,0,13
CTDSPL2,0,2
EIF3J-DT,0,2
EIF3J,1,24
SPG11,0,1
PATL2,0,0
B2M,6,376
MIR10393,0,0
LOC100419583,0,0
TRIM69,0,0
SORD2P,0,1
TERB2,0,0
SORD,0,0
DUOX2,0,0
DUOXA2,0,0
DUOXA1,0,0
DUOX1,0,0
SHF,0,0
LOC101928414,0,0
SLC28A2,0,0
GATM,0,0
SPATA5L1,0,0
C15orf48,0,24
MIR147B,0,0
SLC30A4,0,0
HMGN2P46,0,0
SNORA41B,0,0
BLOC1S6,0,9
SQOR,0,8
LOC105370802,0,0
SEMA6D,0,0
LINC01491,0,0
SLC24A5,0,0
MYEF2,0,1
CTXN2,0,0
SLC12A1,0,0
DUT,1,28
FBN1,0,66
CEP152,0,0
SHC4,0,0
EID1,5,55
SECISBP2L,0,5
COPS2,1,9
GALK2,0,0
NDUFAF4P1,0,0
MIR4716,0,0
FAM227B,0,0
FGF7,0,2
DTWD1,1,4
ATP8B4,0,0
SLC27A2,0,0
HDC,0,0
GABPB1,0,0
GABPB1-IT1,0,1
GABPB1-AS1,0,4
MIR4712,0,0
USP8,0,3
USP50,0,0
TRPM7,0,2
SPPL2A,0,5
AP4E1,0,2
DCAF13P3,0,0
MIR4713HG,0,0
TNFAIP8L3,0,1
CYP19A1,0,0
MIR4713,0,0
MIR7973-2,0,0
MIR7973-1,0,0
GLDN,0,0
DMXL2,0,2
SCG3,0,0
LYSMD2,0,2
TMOD2,0,0
TMOD3,1,3
LOC100422556,0,0
LEO1,0,2
MAPK6-DT,0,0
MAPK6,0,6
BCL2L10,0,0
GNB5,0,1
CERNA1,0,1
MYO5C,0,0
MIR1266,0,0
MYO5A,0,1
ARPP19,3,15
FAM214A,0,3
ONECUT1,0,0
LINC02490,0,0
WDR72,0,0
UNC13C,0,0
LOC105370829,0,0
RSL24D1,1,34
RAB27A,1,1
PIGBOS1,1,7
PIGB,0,1
CCPG1,0,5
DNAAF4-CCPG1,0,0
MIR628,0,0
C15orf65,0,0
DNAAF4,0,1
PYGO1,0,0
PRTG,0,0
NEDD4,0,6
RFX7,0,4
TEX9,0,0
MNS1,0,0
ZNF280D,0,1
LOC145783,0,0
TCF12,0,6
SNORD13D,0,0
LINC00926,0,1
LINC01413,0,0
CGNL1,0,0
GCOM1,0,0
MYZAP,0,0
POLR2M,0,0
ALDH1A2,0,0
LOC283665,0,0
AQP9,0,0
LIPC,0,0
LIPC-AS1,0,0
ADAM10,0,18
HSP90AB4P,0,0
LOC101928725,0,0
MINDY2,1,6
SLTM,0,13
RNF111,0,6
CCNB2,0,0
MYO1E,0,2
MIR2116,0,0
LDHAL6B,0,0
FAM81A,0,0
GCNT3,0,0
GTF2A2,6,43
BNIP2,2,6
FOXB1,0,0
ANXA2,50,570
ICE2,0,4
RORA-AS1,0,0
RORA,0,1
RORA-AS2,0,0
LINC02349,0,0
VPS13C,0,6
LOC101928907,0,0
C2CD4A,0,0
C2CD4B,0,0
LOC107984784,0,0
GOLGA2P11,0,0
MIR8067,0,0
MIR6085,0,0
MGC15885,0,0
TLN2,0,0
MIR190A,0,0
TPM1,97,381
TPM1-AS,0,0
LACTB,0,9
RPS27L,9,279
RAB8B,0,3
APH1B,1,3
CA12,0,0
LINC02568,0,0
USP3,0,0
USP3-AS1,0,0
FBXL22,0,0
HERC1,0,1
MIR422A,0,0
DAPK2,0,0
LOC101928988,0,0
CIAO2A,0,11
SNX1,1,4
SNX22,0,0
PPIB,6,237
CSNK1G1,0,0
PCLAF,0,1
TRIP4,0,2
ZNF609,0,1
OAZ2,1,8
RBPMS2,0,0
MIR1272,0,0
PIF1,0,0
PLEKHO2,0,2
ANKDD1A,0,0
SPG21,0,13
MTFMT,0,0
SLC51B,0,0
RASL12,0,0
KBTBD13,0,0
UBAP1L,0,0
PDCD7,0,1
CLPX,1,1
CILP,0,14
PARP16,0,0
SNORA24B,0,0
RNU5A-1,0,0
RNU5B-1,0,0
IGDCC3,0,0
IGDCC4,0,4
DPP8,0,4
HACD3,0,9
INTS14,0,2
SLC24A1,0,1
DENND4A,0,0
SNORD13E,0,0
MIR4511,0,0
RAB11A,3,21
MEGF11,0,0
MIR4311,0,0
DIS3L,0,1
TIPIN,0,2
SCARNA14,0,0
MAP2K1,0,2
SNAPC5,1,9
MIR4512,0,0
RPL4,4,74
SNORD18C,0,0
SNORD18B,0,0
SNORD16,0,0
SNORD18A,0,0
ZWILCH,0,2
LCTL,0,0
LINC01169,0,0
SMAD6,0,0
LINC02206,0,0
LOC102723493,0,0
SMAD3,0,6
AAGAB,0,4
IQCH,0,0
IQCH-AS1,0,6
C15orf61,0,15
MAP2K5,0,1
SKOR1,0,0
LOC101929076,0,0
PIAS1,0,3
CALML4,0,0
CLN6,0,1
FEM1B,0,2
ITGA11,1,41
CORO2B,0,0
ANP32A,1,7
MIR4312,0,0
ANP32A-IT1,0,0
NOX5,0,0
SPESP1,0,0
EWSAT1,0,0
GLCE,0,2
PAQR5,0,0
LOC145694,0,1
KIF23,0,1
RPLP1,78,1055
DRAIC,0,0
PCAT29,0,0
LINC00593,0,0
TLE3,0,2
MIR629,0,0
LINC02205,0,0
LINC02204,0,0
SALRNA3,0,0
SALRNA2,0,0
UACA,2,28
LARP6,2,14
LRRC49,0,0
THAP10,0,0
THSD4,0,0
THSD4-AS1,0,0
THSD4-AS2,0,0
NR2E3,0,0
MYO9A,0,2
SENP8,0,0
GRAMD2A,0,0
PKM,8,144
PARP6,0,2
CELF6,0,1
HEXA,0,39
HEXA-AS1,0,0
TMEM202,0,0
TMEM202-AS1,0,0
ARIH1,0,9
MIR630,0,0
LINC02259,0,0
GOLGA6B,0,0
HIGD2B,0,0
BBS4,0,1
ADPGK,0,7
ADPGK-AS1,0,1
NEO1,0,0
MIR12135,0,0
HCN4,0,0
REC114,0,0
NPTN,6,39
NPTN-IT1,0,0
CD276,0,12
INSYN1,0,1
INSYN1-AS1,0,0
TBC1D21,0,0
LOXL1-AS1,1,0
LOXL1,2,69
STOML1,0,2
PML,0,1
GOLGA6A,0,0
COMMD4P2,0,0
LOC283731,0,0
ISLR2,0,0
ISLR,0,0
STRA6,0,0
CCDC33,0,0
CYP11A1,0,0
PPIAP46,0,0
LINC02255,0,0
SEMA7A,0,1
MIR6881,0,0
UBL7,1,7
UBL7-AS1,0,0
ARID3B,0,0
CLK3,0,2
EDC3,0,1
CYP1A1,0,0
CYP1A2,0,0
CSK,0,2
MIR4513,0,0
LMAN1L,0,0
CPLX3,0,0
ULK3,0,6
MIR6882,0,0
SCAMP2,2,11
MPI,0,0
FAM219B,0,4
COX5A,2,47
RPP25,0,2
SCAMP5,0,0
PPCDC,0,2
C15orf39,0,1
LOC105376731,0,0
GOLGA6C,0,0
GOLGA6D,0,0
COMMD4,1,14
NEIL1,0,1
MIR631,0,0
MAN2C1,0,3
SIN3A,0,2
PTPN9,0,3
SNUPN,1,6
IMP3,2,20
SNX33,0,1
CSPG4,0,0
ODF3L1,0,0
DNM1P35,0,0
MIR4313,0,0
UBE2Q2,0,6
FBXO22,1,13
NRG4,0,0
TMEM266,0,0
LOC101929439,0,0
ETFA,0,8
TYRO3P,0,0
ISL2,0,0
SCAPER,0,0
MIR3713,0,0
RCN2,8,48
PSTPIP1,0,0
TSPAN3,3,26
PEAK1,0,5
LINC00597,0,2
HMG20A,0,3
LOC101929457,0,0
LINGO1,0,0
LINGO1-AS1,0,0
LINGO1-AS2,0,0
LOC645752,0,0
COMMD4P1,0,0
LOC91450,0,1
TBC1D2B,0,7
SH2D7,0,0
CIB2,0,0
IDH3A,0,2
ACSBG1,0,0
DNAJA4,0,0
WDR61,0,5
CRABP1,0,0
IREB2,0,3
HYKK,0,0
PSMA4,1,27
CHRNA5,0,0
CHRNA3,0,0
CHRNB4,0,0
LOC646938,0,0
