H1.1,H2.1,H3.1,H4.1,H5.1,H6.1
MVK,34,8,9,2,65,6
FAM222A,2,0,2,1,4,1
FAM222A-AS1,0,0,0,0,0,0
TRPV4,1,0,0,0,0,5
MIR4497,0,0,0,0,0,0
GLTP,292,120,87,32,480,226
TCHP,61,21,24,4,75,32
GIT2,49,20,16,9,124,67
ANKRD13A,80,41,23,13,106,67
C12orf76,30,15,19,3,73,13
IFT81,40,30,15,2,112,37
ATP2A2,220,108,51,19,726,212
ANAPC7,102,35,28,6,167,64
ARPC3,1942,1030,824,210,4148,1822
GPN3,134,50,58,14,312,101
FAM216A,28,29,14,4,77,19
VPS29,476,273,246,63,1355,546
RAD9B,1,0,0,0,4,1
PPTC7,25,13,15,2,40,28
TCTN1,65,45,30,11,145,65
HVCN1,0,0,0,0,4,5
PPP1CC,178,157,53,19,420,221
CCDC63,0,0,0,0,0,0
MYL2,1,0,4,1,2,1
LINC01405,0,0,0,0,0,0
LOC105369980,0,0,0,0,0,0
CUX2,0,0,1,0,0,0
MIR6760,0,0,0,0,0,0
PHETA1,27,15,14,7,80,25
SH2B3,40,30,6,5,57,76
ATXN2,99,52,74,10,302,86
ATXN2-AS,0,0,0,0,1,0
BRAP,56,21,24,8,91,43
ACAD10,12,3,1,1,29,9
ALDH2,256,96,50,31,929,204
MIR6761,0,0,0,0,0,0
MAPKAPK5-AS1,115,74,93,17,343,180
MAPKAPK5,73,23,24,15,127,39
TMEM116,21,21,13,4,58,16
ERP29,973,593,563,79,3138,1036
NAA25,46,26,23,6,111,40
MIR3657,0,0,0,0,0,0
TRAFD1,36,16,11,7,87,17
HECTD4,47,10,13,7,77,30
MIR6861,0,0,0,0,0,0
RPL6,3824,4035,1690,342,11596,5248
PTPN11,394,93,104,17,549,209
RPH3A,0,0,0,0,0,0
MIR1302-1,0,0,0,0,0,0
OAS1,0,0,1,0,0,0
OAS3,0,0,1,0,0,0
OAS2,0,0,0,0,0,0
DTX1,0,0,0,0,0,0
RASAL1,0,0,0,0,0,0
CFAP73,0,0,0,0,1,0
DDX54,117,48,37,17,214,66
MIR7106,0,0,0,0,0,0
RITA1,82,56,41,8,131,44
IQCD,1,1,0,0,1,2
TPCN1,41,39,5,2,162,58
MIR6762,0,0,0,0,0,0
SLC8B1,11,8,1,0,38,17
PLBD2,52,25,13,10,110,69
SDS,0,0,0,0,0,0
SDSL,58,26,58,5,79,50
LHX5,0,0,0,0,0,0
LHX5-AS1,0,0,0,0,0,0
LINC01234,0,0,0,0,0,0
RBM19,38,14,12,4,89,25
LINC02459,0,0,0,0,0,0
TBX5,0,0,0,0,3,0
TBX5-AS1,0,0,0,0,0,0
TBX3,73,9,6,15,521,40
MED13L,186,62,39,20,264,92
MIR620,0,0,0,0,0,0
MIR4472-2,0,0,0,0,0,0
LINC00173,0,1,1,0,3,1
MAP1LC3B2,22,3,11,5,21,14
C12orf49,95,37,46,12,255,96
RNFT2,9,3,3,1,7,5
HRK,1,0,33,0,0,7
FBXW8,33,18,9,5,73,22
LOC100506551,0,0,0,0,2,2
TESC,1,0,3,1,3,0
TESC-AS1,0,0,0,0,0,0
FBXO21,87,50,42,15,245,136
NOS1,0,0,0,0,0,1
KSR2,0,0,0,0,0,1
RFC5,13,8,7,3,31,14
WSB2,357,134,80,45,861,342
VSIG10,10,6,6,1,12,17
PEBP1,1577,999,947,177,3169,1070
TAOK3,166,46,39,12,138,83
SUDS3,172,48,38,14,226,108
LINC02423,0,0,0,0,0,0
LINC02439,0,0,0,0,0,0
SRRM4,1,0,0,0,0,0
LOC105370024,0,0,0,0,0,0
HSPB8,91,7,43,10,208,81
LINC00934,0,0,0,0,0,0
CCDC60,0,0,0,0,1,0
TMEM233,0,0,0,0,0,0
PRKAB1,47,13,23,4,70,29
CIT,0,6,0,0,1,0
MIR1178,0,0,0,0,0,0
BICDL1,1,0,0,0,3,0
RAB35,53,34,16,9,98,52
GCN1,117,54,32,20,326,80
MIR4498,0,0,0,0,0,0
RPLP0,2117,3028,908,274,6676,3080
PXN-AS1,25,7,7,1,78,16
PXN,93,72,22,23,226,167
RNU4-2,1,0,0,0,0,0
RNU4-1,0,0,0,0,0,0
SIRT4,21,5,12,1,34,6
PLA2G1B,2,1,0,0,3,1
MSI1,0,1,0,0,8,1
COX6A1,1966,723,637,221,4902,1941
TRIAP1,431,162,214,37,1006,342
GATC,39,22,18,4,102,35
SRSF9,931,675,395,105,3620,1345
DYNLL1,3639,1637,1536,465,8334,3925
NRAV,16,6,10,2,57,10
COQ5,89,47,65,16,192,81
RNF10,209,86,101,24,445,174
POP5,333,117,66,32,748,278
CABP1,0,0,0,0,0,0
MLEC,615,230,196,64,1297,387
UNC119B,59,30,10,3,97,39
MIR4700,0,0,0,0,0,0
ACADS,15,1,7,3,25,14
SPPL3,122,57,43,17,271,121
XLOC-009911,0,0,0,0,0,0
HNF1A-AS1,0,0,0,0,0,0
HNF1A,0,0,0,0,0,0
C12orf43,88,34,30,7,116,53
OASL,0,0,0,0,0,0
P2RX7,0,0,0,0,1,0
P2RX4,29,15,18,6,111,48
CAMKK2,67,36,21,7,108,36
ANAPC5,342,136,115,36,731,229
RNF34,66,40,35,5,166,64
KDM2B,12,7,10,1,44,30
MIR7107,0,0,0,0,0,0
ORAI1,61,51,51,10,96,42
MORN3,3,1,0,0,0,2
TMEM120B,29,14,4,3,70,40
RHOF,9,5,5,1,67,26
LINC01089,22,20,5,5,88,43
SETD1B,27,9,8,2,98,26
HPD,0,0,0,0,0,0
PSMD9,606,300,265,59,1167,506
WDR66,11,1,10,2,55,6
BCL7A,45,23,20,5,95,15
LOC100506691,4,1,0,0,2,2
MLXIP,166,59,39,17,432,126
LRRC43,1,0,0,0,2,0
IL31,0,0,0,0,0,0
B3GNT4,1,0,2,0,4,3
DIABLO,328,112,180,28,807,277
LOC101593348,0,0,0,0,0,0
VPS33A,65,20,30,12,146,54
CLIP1,388,86,115,20,286,146
CLIP1-AS1,0,0,0,0,0,0
ZCCHC8,35,14,24,1,44,37
RSRC2,356,131,157,23,487,180
KNTC1,4,3,1,0,13,6
MIR9902-1,0,0,0,0,0,0
MIR9902-2,0,0,0,0,0,0
HCAR2,0,0,0,0,0,0
HCAR3,0,0,0,0,0,0
HCAR1,0,0,0,0,0,0
DENR,343,114,57,25,487,200
CCDC62,2,0,0,0,3,1
HIP1R,11,6,5,5,11,29
VPS37B,45,24,20,9,70,42
ABCB9,7,2,2,1,16,9
OGFOD2,39,12,8,5,96,27
ARL6IP4,1035,637,302,82,1780,1029
PITPNM2,7,3,1,0,18,11
MIR4304,0,0,0,0,0,0
PITPNM2-AS1,0,0,0,0,0,0
MPHOSPH9,12,16,8,0,48,22
C12orf65,132,44,47,11,125,84
CDK2AP1,1033,657,332,112,2707,1361
SBNO1,174,68,73,20,321,140
MIR8072,0,0,0,0,0,0
SBNO1-AS1,13,5,10,1,35,43
KMT5A,244,49,91,18,354,229
RILPL2,69,30,56,7,68,40
SNRNP35,147,65,65,9,205,79
RILPL1,215,66,80,25,150,88
MIR3908,0,0,0,0,0,0
TMED2-DT,1,0,0,0,0,2
TMED2,426,320,210,58,1252,725
DDX55,61,25,48,8,92,33
SNORA9B,0,0,0,0,0,0
EIF2B1,131,70,59,10,211,74
GTF2H3,65,38,26,11,175,79
TCTN2,7,4,0,0,19,10
ATP6V0A2,45,12,20,6,80,34
DNAH10,1,0,0,0,2,0
CCDC92,132,48,42,14,276,94
ZNF664,56,25,28,4,150,74
ZNF664-RFLNA,0,0,0,0,0,0
RFLNA,0,0,0,0,0,0
NCOR2,374,116,72,34,515,303
MIR6880,0,0,0,0,0,0
SCARB1,12,10,6,1,67,28
UBC,4653,1781,2465,470,8168,3399
MIR5188,0,0,0,0,0,0
DHX37,22,17,6,8,78,32
BRI3BP,28,11,9,5,47,18
THRIL,0,0,0,0,0,0
AACS,22,14,18,3,66,29
TMEM132B,0,3,0,0,0,9
LINC00939,0,0,1,0,0,0
LINC02359,0,0,0,0,0,0
LINC02825,0,0,0,0,0,0
LINC02350,0,0,0,0,0,0
LINC02347,0,0,0,0,0,0
LOC100996671,0,0,0,0,0,0
LINC00944,0,0,0,0,0,0
LINC00943,0,0,0,0,0,0
LINC02372,0,0,0,0,0,0
LINC02405,0,0,0,0,0,0
LINC02376,0,1,0,0,0,0
LINC02375,0,0,0,0,0,0
LINC02411,0,0,0,0,0,0
LOC105370068,0,0,0,0,0,0
LINC02393,0,0,0,0,0,0
LINC00508,0,0,0,0,0,0
LINC00507,0,0,0,0,0,0
LINC02441,0,0,0,0,0,0
LINC02369,0,0,0,0,0,0
LINC02368,0,0,0,0,0,0
TMEM132C,0,0,0,0,16,0
MIR3612,0,0,0,0,0,0
SLC15A4,69,25,47,2,200,69
LOC100128276,0,0,0,0,0,0
GLT1D1,0,0,0,0,1,0
TMEM132D,1,0,0,0,0,1
TMEM132D-AS1,0,0,0,0,0,0
TMEM132D-AS2,0,0,0,0,0,0
LINC02418,0,0,0,0,0,0
LINC02419,0,0,0,0,0,0
FZD10-AS1,0,0,0,0,0,0
FZD10,0,0,0,0,0,0
PIWIL1,0,0,0,0,0,0
RIMBP2,0,0,0,0,6,0
STX2,139,45,24,12,204,67
RAN,1605,1311,927,204,5166,1696
ADGRD1,0,0,2,0,0,0
ADGRD1-AS1,0,0,0,0,0,0
LINC01257,0,0,0,0,0,0
LINC02415,0,0,0,0,0,0
LINC02370,0,0,0,0,0,0
LINC02414,0,0,0,0,0,0
SFSWAP,131,45,45,8,196,85
MMP17,0,2,2,0,3,2
ULK1,58,23,20,8,90,44
PUS1,27,13,22,12,100,34
EP400,62,34,14,8,122,42
SNORA49,0,0,0,0,0,0
EP400P1,1,2,0,0,6,3
DDX51,27,15,12,6,77,28
NOC4L,56,31,29,6,136,46
LINC02361,2,1,4,1,10,5
GALNT9,2,0,5,0,12,4
LOC100130238,0,0,0,0,0,0
LOC101928416,0,0,0,0,0,0
FBRSL1,33,19,17,9,133,37
MIR6763,0,0,0,0,0,0
LRCOL1,0,0,0,0,0,0
P2RX2,0,0,0,0,0,0
POLE,7,10,1,1,19,4
PXMP2,117,77,26,5,174,55
PGAM5,30,12,17,3,68,29
ANKLE2,355,98,114,38,756,173
GOLGA3,333,99,58,33,562,179
CHFR,32,21,16,6,75,27
LOC101928530,4,1,1,0,8,3
ZNF605,72,17,20,4,84,31
ZNF26,15,20,14,5,77,25
ZNF84-DT,0,0,0,0,0,0
ZNF84,51,20,23,4,89,48
ZNF140,25,16,17,5,59,15
ZNF891,7,6,3,0,13,1
ZNF10,10,1,6,1,23,6
ZNF268,37,23,18,12,100,25
ANHX,0,0,0,0,0,0
TAS2R45,2,1,0,0,2,0
FAM230C,0,0,0,0,0,0
LINC00417,0,0,0,0,0,0
ANKRD20A9P,0,0,0,0,0,0
LINC00408,0,0,0,0,0,0
LINC00442,0,0,0,0,0,0
LOC107984132,0,0,0,0,0,0
TUBA3C,0,0,0,0,0,0
LOC101928697,0,0,0,0,0,0
ANKRD26P3,0,0,0,0,0,0
LINC00421,0,0,0,0,0,0
TPTE2,0,1,0,0,0,0
LINC00350,0,0,0,0,0,0
MPHOSPH8,313,78,129,22,336,169
PSPC1,85,32,45,7,261,73
ZMYM5,102,37,64,4,198,51
ZMYM2,104,44,30,7,341,117
LINC01072,0,0,0,0,1,0
GJA3,1,0,3,1,2,1
GJB2,0,0,0,0,15,8
GJB6,0,0,0,0,0,0
CRYL1,34,12,18,10,19,30
MIR4499,0,0,0,0,0,0
IFT88,31,14,12,1,50,21
IL17D,7,13,6,0,8,10
EEF1AKMT1,54,36,19,13,164,66
XPO4,24,11,9,5,52,29
LINC00367,0,0,0,0,0,0
LATS2,370,47,67,21,137,122
SAP18,1246,546,679,163,3131,1154
SKA3,0,4,0,0,1,1
MRPL57,637,269,211,54,1516,641
LINC01046,0,0,0,0,0,0
LOC101928764,0,0,0,0,0,1
MIPEPP3,3,4,3,0,4,9
LINC00539,1,0,0,0,0,0
GRK6P1,0,1,0,0,1,0
ZDHHC20,68,16,24,10,135,81
MICU2,152,59,67,17,352,103
FGF9,0,0,3,0,5,0
LINC00424,0,0,0,0,0,0
LINC00540,0,0,0,0,0,0
LINC00621,0,0,0,0,0,0
BASP1P1,0,0,0,0,0,0
SGCG,1,0,6,0,13,7
SACS,146,53,83,22,111,107
SACS-AS1,0,0,0,0,0,0
LINC00327,3,0,0,0,0,1
TNFRSF19,5,1,9,1,1,11
MIPEP,12,6,9,3,39,31
PCOTH,5,5,1,0,11,17
C1QTNF9B,0,0,0,0,0,0
ANKRD20A19P,0,0,0,0,0,0
SPATA13,5,6,0,0,31,7
MIR2276,0,0,0,0,0,0
SPATA13-AS1,0,0,0,0,0,0
C1QTNF9,0,0,0,0,0,0
LINC00566,0,0,0,0,0,0
PARP4,84,35,30,7,140,51
LOC105370295,0,0,0,0,0,0
TPTE2P6,1,0,0,0,0,0
ATP12A,0,0,0,0,0,0
RNF17,0,0,0,0,0,0
CENPJ,8,5,6,2,31,8
TPTE2P1,1,1,1,0,7,0
PABPC3,0,1,0,0,0,0
AMER2,0,0,0,0,1,0
LINC00463,0,0,0,0,0,0
LINC01053,0,0,0,0,0,0
MTMR6,128,25,30,9,176,97
NUP58,65,19,26,7,131,61
ATP8A2,1,4,1,1,0,4
SHISA2,3,7,1,0,0,37
LINC00415,0,0,0,0,0,0
RNF6,132,44,74,18,210,103
CDK8,30,19,16,4,82,30
WASF3,43,28,18,4,104,29
GPR12,0,0,0,0,0,0
USP12,71,23,18,6,128,49
USP12-AS1,0,0,0,0,0,0
USP12-AS2,2,0,0,0,1,1
LINC00412,0,0,0,0,0,0
SNORD102,0,0,0,0,0,0
SNORA27,0,0,0,0,0,0
RASL11A,1,3,3,0,24,3
GTF3A,431,290,144,48,1040,318
MTIF3,302,105,84,13,453,167
LNX2,9,5,4,0,26,12
POLR1D,396,304,261,41,810,403
GSX1,0,0,0,0,0,0
PLUT,0,0,0,0,0,0
PDX1,0,0,0,0,0,0
LINC00543,1,0,2,0,6,2
CDX2,0,0,0,0,3,0
URAD,0,0,0,0,0,0
FLT3,0,0,0,0,0,0
PAN3-AS1,3,1,2,0,11,3
PAN3,24,13,8,4,132,62
FLT1,145,2,95,13,2402,178
POMP,2360,966,1081,373,7999,3707
SLC46A3,107,15,15,13,223,81
MTUS2,0,0,1,0,5,0
MTUS2-AS1,0,0,0,0,0,0
SLC7A1,159,76,41,16,231,162
LOC102723345,2,1,0,0,2,0
UBL3,202,79,42,18,633,263
LINC00297,0,0,0,0,0,0
LINC00572,0,0,0,0,0,0
LINC00544,0,0,0,0,0,0
LINC00365,0,0,0,0,0,0
LINC00384,0,0,0,0,0,0
KATNAL1,93,22,35,15,190,71
LINC00426,0,0,0,0,0,0
LINC01058,0,0,0,0,0,0
UBE2L5,0,1,0,2,3,1
HMGB1,1306,1321,442,133,3315,1455
USPL1,16,4,7,1,113,22
ALOX5AP,3,16,2,3,218,46
LINC00398,0,0,0,0,0,0
LINC00545,0,2,0,0,14,3
TEX26-AS1,0,0,0,0,0,0
MEDAG,16,1,0,2,10,78
TEX26,0,0,0,0,0,0
HSPH1,173,70,85,22,490,210
B3GLCT,16,4,5,0,33,27
RXFP2,0,0,0,0,0,0
EEF1DP3,0,0,0,0,0,0
FRY-AS1,1,1,0,0,4,2
FRY,65,1,27,8,149,125
ZAR1L,0,0,0,0,0,0
BRCA2,8,3,5,0,7,6
N4BP2L1,14,6,5,1,31,14
N4BP2L2,444,228,186,23,1302,524
MICOS10P1,7,13,2,0,43,11
N4BP2L2-IT2,6,7,2,1,17,6
PDS5B,117,44,18,12,223,133
LINC00423,0,0,0,0,0,0
KL,2,0,0,1,2,0
STARD13,33,18,1,5,29,36
STARD13-AS,0,0,0,0,0,1
LINC02344,0,0,0,0,0,0
RFC3,9,10,3,0,11,6
LINC02343,0,0,0,0,0,0
LINC00457,0,0,0,0,0,0
NBEA,27,10,8,3,50,40
MAB21L1,27,0,1,0,10,16
LINC00445,0,0,0,0,0,0
DCLK1,5,29,3,6,3,6
CCDC169-SOHLH2,0,0,0,0,0,0
SOHLH2,0,0,0,0,0,0
CCDC169,0,0,0,0,5,3
SPART,530,122,111,45,799,301
SPART-AS1,2,1,1,1,1,0
CCNA1,2,1,0,0,1,1
SERTM1,0,0,0,0,0,0
RFXAP,18,12,8,2,34,16
SMAD9,37,1,10,1,45,2
ALG5,253,125,97,21,753,331
EXOSC8,195,55,115,12,284,136
SUPT20H,109,49,43,4,196,83
CSNK1A1L,0,0,0,0,0,0
LINC01048,2,0,0,0,0,6
LINC00547,2,0,0,0,1,0
POSTN,2432,3842,33,157,66,1581
TRPC4,6,6,0,1,13,4
LINC00571,0,1,0,0,0,0
UFM1,319,171,137,37,1081,415
LINC00437,0,0,0,0,0,0
LINC00366,0,0,0,0,0,0
FREM2,0,0,0,0,0,0
FREM2-AS1,0,0,0,0,0,0
STOML3,0,0,0,0,0,0
PROSER1,32,16,8,11,84,25
NHLRC3,26,9,6,2,58,36
LHFPL6,168,91,17,14,221,125
COG6,79,19,17,6,258,87
MIR4305,0,0,0,0,0,0
LINC00332,0,0,0,0,0,0
LINC00548,0,0,0,0,0,0
LINC00598,0,0,0,0,2,0
FOXO1,27,18,12,0,220,57
MIR320D1,0,0,0,0,0,0
MRPS31,128,29,41,11,164,76
SLC25A15,11,10,4,3,44,9
TPTE2P5,7,1,0,0,5,2
MIR621,0,0,0,0,0,0
SUGT1P3,2,0,2,0,1,1
ELF1,119,59,62,7,315,140
WBP4,224,65,68,18,255,130
MIR3168,0,0,0,0,0,0
KBTBD6,45,9,8,2,41,13
LOC101929140,0,0,0,0,3,0
KBTBD7,44,15,8,1,67,24
MTRF1,17,7,5,0,42,10
NAA16,25,10,10,1,54,16
OR7E37P,0,0,0,0,0,0
RGCC,2,59,4,17,194,167
VWA8,25,9,4,3,101,24
MIR5006,1,0,0,0,0,0
VWA8-AS1,0,0,0,0,1,0
DGKH,31,23,20,5,198,46
AKAP11,94,52,24,9,312,114
LINC02341,0,0,0,0,0,1
TNFSF11,0,0,0,0,0,0
FAM216B,0,0,0,0,0,0
LINC01050,0,0,0,0,0,1
LINC00428,0,0,0,0,0,0
EPSTI1,39,0,5,0,10,15
DNAJC15,319,87,46,26,283,213
LINC00400,0,0,0,0,0,0
ENOX1,4,3,1,3,12,2
ENOX1-AS2,0,0,0,0,0,0
CCDC122,48,18,5,2,51,22
LACC1,35,16,7,7,74,26
NRAD1,1,0,0,0,0,0
LINC00390,0,0,0,0,0,0
SMIM2-AS1,3,0,0,0,3,4
SMIM2,0,0,0,0,1,0
SMIM2-IT1,0,0,0,0,0,0
MIR8079,0,0,0,0,0,0
SERP2,44,1,8,3,53,21
TUSC8,0,0,0,0,0,0
TSC22D1,292,139,169,29,2408,266
TSC22D1-AS1,3,1,2,0,6,17
LINC00407,0,0,0,0,0,0
LINC00330,0,0,0,0,0,0
NUFIP1,56,24,29,7,92,34
GPALPP1,96,28,25,7,106,43
LOC101929259,0,0,0,0,0,0
GTF2F2,202,102,116,16,411,140
KCTD4,8,4,0,0,2,4
TPT1,10512,11526,4513,826,28935,14024
SNORA31B,0,0,0,0,0,0
SNORA31,0,0,0,0,0,0
TPT1-AS1,22,6,6,3,27,28
SLC25A30,3,5,3,2,25,7
SLC25A30-AS1,0,0,1,0,1,0
COG3,33,13,5,6,120,35
ERICH6B,0,0,0,0,0,0
LINC01055,0,0,0,0,0,0
CBY2,0,0,0,0,0,0
SIAH3,0,0,0,0,0,0
ZC3H13,279,109,100,15,383,195
CPB2-AS1,0,0,0,0,0,0
CPB2,0,0,0,0,0,0
LCP1,1,2,1,0,0,6
LRRC63,0,0,0,0,0,0
LINC00563,0,0,0,0,0,0
RUBCNL,1,1,0,0,1,2
LINC01198,0,0,0,0,0,0
LOC112268117,0,0,0,0,0,0
LRCH1,18,10,5,5,57,28
ESD,494,254,193,61,1004,520
HTR2A,0,0,0,0,0,2
HTR2A-AS1,0,0,0,0,0,0
LINC00562,1,0,1,0,1,5
SUCLA2,186,58,77,14,311,105
NUDT15,61,36,22,12,116,56
MED4,182,81,73,16,364,137
MED4-AS1,0,0,0,0,0,0
ITM2B,3321,850,876,266,4974,2530
RB1-DT,0,0,0,0,0,1
RB1,159,21,27,8,176,86
LPAR6,19,4,2,0,4,29
RCBTB2,35,16,7,3,27,16
LINC00462,0,0,0,0,0,0
CYSLTR2,0,0,0,0,0,0
FNDC3A,158,49,51,14,232,108
MLNR,0,0,0,0,0,0
LOC105370203,17,8,3,0,30,20
CDADC1,53,18,24,5,93,31
CAB39L,46,7,18,0,19,17
SETDB2,10,3,2,1,22,12
SETDB2-PHF11,0,0,0,0,0,0
PHF11,12,2,2,0,8,9
RCBTB1,25,13,6,2,83,19
ARL11,0,0,0,0,0,0
EBPL,167,207,137,21,870,293
KPNA3,217,104,97,36,552,213
CTAGE10P,0,0,0,0,0,0
SPRYD7,196,58,67,25,444,173
DLEU2,7,11,1,0,12,3
MIR3613,0,0,0,0,0,0
TRIM13,86,49,48,10,222,93
KCNRG,1,0,0,0,1,0
MIR16-1,0,0,0,0,0,0
MIR15A,0,0,0,0,0,0
DLEU1,108,40,12,15,208,58
ST13P4,0,3,0,0,0,1
DLEU1-AS1,0,0,0,0,0,0
DLEU7,1,0,0,0,0,0
DLEU7-AS1,0,0,0,0,1,0
RNASEH2B-AS1,2,0,1,0,0,0
RNASEH2B,84,26,42,7,128,67
GUCY1B2,0,0,0,0,0,0
C13orf42,0,0,0,0,0,0
FAM124A,5,0,1,0,41,9
SERPINE3,0,0,0,0,0,0
MIR5693,0,0,0,0,0,0
INTS6,61,47,16,11,232,108
INTS6-AS1,7,1,2,2,11,9
MIR4703,0,0,0,0,0,0
WDFY2,15,23,11,1,63,29
DHRS12,51,16,6,2,78,25
TMEM272,0,0,0,0,0,0
CCDC70,0,0,0,0,0,0
ATP7B,6,1,5,1,86,10
ALG11,14,4,7,1,27,12
UTP14C,0,0,0,0,0,0
NEK5,4,4,3,0,17,5
LOC101929657,0,0,0,0,2,0
NEK3,28,9,7,3,64,13
MRPS31P5,13,4,3,2,29,10
LINC02333,0,0,0,0,0,0
THSD1,31,10,4,0,9,14
VPS36,236,90,51,26,277,112
CKAP2,59,32,21,4,89,55
TPTE2P3,0,0,0,0,2,0
HNRNPA1L2,20,15,1,1,40,12
SUGT1,374,134,154,41,744,242
CNMD,0,0,0,0,0,0
MIR759,0,0,0,0,0,0
PCDH8,0,0,0,0,0,0
OLFM4,0,0,0,0,0,0
LINC01065,0,0,0,0,0,0
LINC00558,0,0,0,0,0,0
LINC00458,0,0,0,0,0,0
MIR1297,0,0,0,0,0,0
MIR5007,0,0,0,0,0,0
PRR20A,0,0,0,0,0,0
PRR20B,0,0,0,0,0,0
PRR20C,0,0,0,0,0,0
PRR20D,0,0,0,0,0,0
PRR20E,0,0,0,0,0,0
PCDH17,0,2,4,3,59,3
LINC02338,0,0,0,0,0,0
LINC00374,0,0,0,0,0,0
DIAPH3,134,37,12,4,37,24
DIAPH3-AS1,0,0,0,0,0,0
DIAPH3-AS2,0,0,0,0,0,0
LINC00434,0,0,0,0,0,0
TDRD3,35,18,12,1,61,23
LINC00378,0,0,0,0,0,0
MIR3169,0,0,0,0,0,0
PCDH20,1,0,1,0,0,0
LINC02339,0,0,0,0,0,0
LINC00358,0,0,0,0,0,0
LINC01075,0,0,0,0,0,0
LINC01074,0,0,0,0,0,0
LINC00459,0,0,0,0,0,0
LINC00448,0,0,0,0,0,0
LINC00376,0,0,0,0,0,0
LINC00395,0,0,0,0,0,0
OR7E156P,0,0,0,0,0,0
LOC102723968,0,0,0,0,0,0
LOC647264,0,0,0,0,0,0
LINC00355,0,0,0,0,0,0
LINC01052,0,0,0,0,0,0
MIR548X2,0,0,0,0,0,0
MIR4704,0,0,0,0,0,0
PCDH9,19,86,3,6,49,57
PCDH9-AS2,0,0,0,0,0,0
PCDH9-AS3,0,0,0,0,0,0
PCDH9-AS4,0,0,0,0,0,0
LINC00364,0,0,0,0,0,0
LINC00550,0,0,0,0,0,0
LINC00383,0,0,0,0,0,0
KLHL1,0,0,0,0,0,0
ATXN8OS,0,0,0,0,0,0
LINC00348,0,0,0,0,0,0
DACH1,5,0,6,0,15,0
MZT1,114,65,52,17,240,117
BORA,2,2,0,0,12,1
DIS3,110,45,64,12,288,93
PIBF1,79,14,22,6,148,35
KLF5,44,8,18,0,306,62
LINC00392,0,0,0,0,0,0
KLF12,23,20,6,3,55,62
LINC00402,0,0,0,0,0,1
LOC100288208,0,0,0,0,0,0
LINC00381,0,0,0,0,0,0
LINC00347,0,0,0,0,0,0
CTAGE11P,0,0,0,0,0,0
LINC01078,0,0,0,0,0,0
TBC1D4,31,22,4,6,119,60
COMMD6,1401,677,382,144,3713,1628
UCHL3,221,153,115,38,703,300
LMO7-AS1,353,3,92,20,12,134
LMO7,1565,247,257,81,1398,537
LMO7DN,11,0,0,0,11,2
LMO7DN-IT1,0,0,0,0,0,0
LINC00561,0,0,0,0,0,0
KCTD12,48,18,5,0,716,59
BTF3P11,0,0,0,0,0,0
ACOD1,0,0,0,0,0,0
CLN5,112,41,42,14,316,128
FBXL3,76,32,16,9,156,60
MYCBP2,279,88,71,32,424,160
MYCBP2-AS1,0,0,0,0,0,0
SCEL,0,0,0,0,0,0
SCEL-AS1,0,0,0,0,0,0
LOC100129307,0,0,0,0,0,0
SLAIN1,0,0,3,0,1,2
MIR3665,0,0,0,0,0,0
EDNRB-AS1,0,0,0,0,0,0
EDNRB,0,0,0,0,1,0
LINC01069,0,0,0,0,0,0
LINC00446,0,0,0,0,0,0
OBI1-AS1,0,0,0,0,0,0
LOC780529,0,0,0,0,0,0
POU4F1,0,0,0,0,0,0
OBI1,52,11,27,1,78,43
LINC00331,0,0,0,0,0,0
RBM26,144,50,46,9,233,94
RBM26-AS1,6,3,4,0,11,3
NDFIP2-AS1,0,0,0,0,0,0
NDFIP2,247,76,90,34,742,272
LINC01068,0,0,0,0,2,0
LINC01038,0,0,0,0,0,0
LINC00382,0,0,0,0,0,0
LINC01080,0,0,0,0,0,0
SPRY2,47,12,25,15,139,86
LINC00377,0,0,0,0,0,0
LINC00564,0,0,0,0,0,0
SLITRK1,9,4,1,0,0,1
LINC00333,0,0,0,0,0,0
SNORA107,0,0,0,0,0,0
LINC00375,0,0,0,0,0,0
LINC00351,0,0,0,0,0,0
SLITRK6,4,0,0,0,0,5
LINC00430,0,0,0,0,0,0
MIR4500HG,0,0,0,0,0,0
MIR4500,0,0,0,0,0,0
SLITRK5,1,1,0,0,2,3
LINC00397,0,0,0,0,0,0
LINC00373,0,0,0,0,0,0
LINC00433,0,0,0,0,0,0
LINC00560,0,0,0,0,0,0
LINC01047,0,0,0,0,0,0
LINC00440,0,0,0,0,0,0
LINC01040,0,1,0,0,0,0
LINC00353,0,0,0,0,0,0
LINC00559,0,0,0,0,0,0
MIR622,0,0,0,0,0,0
LINC01049,0,0,0,0,0,0
LINC00410,0,0,0,0,0,0
LINC00380,0,0,0,0,0,0
LINC00379,0,0,0,0,0,1
MIR17HG,3,6,0,0,10,4
MIR17,0,0,0,0,0,0
MIR18A,0,0,0,0,0,0
MIR19A,0,0,0,0,0,0
MIR20A,0,0,0,0,0,0
MIR19B1,0,0,0,0,0,0
MIR92A1,0,0,0,0,0,0
GPC5,0,0,0,0,1,0
GPC5-AS2,0,0,0,0,0,0
MIR548AS,0,0,0,0,0,0
GPC5-AS1,0,0,0,0,0,0
LINC00363,0,0,0,0,0,0
GPC6,55,27,1,0,1065,68
GPC6-AS2,0,0,0,0,0,0
GPC6-AS1,0,0,0,0,0,0
DCT,0,0,0,0,0,1
TGDS,37,16,31,8,130,35
GPR180,75,36,9,13,205,77
